casting director	70 50
and you are ready to go into your	64 67 64 67 70 70 79 52
on scenes together that ' s such an	41 41 41 49 49 49 49 49
that book is now on bookshelves	76 67 67 67 58 58
this place is like upwork and fiber that	26 26 26 26 26 26 26 26
wanted to simplify it because	43 43 71 70 41
towards your own career	76 76 76 76
if you want to be a working graphic	40 49 49 80 71 71 71 71
a conversation with him	71 71 71 49
and really helpful articles that will	1 1 10 1 43 43
so i encourage you to sit in on class	76 76 77 77 80 77 77 77 80
what do you mean no not doing it I	79 79 79 79 79 79 79 79 79
actors can make money within this	71 71 71 40 70 70
beneficial when you use it in the right	79 79 79 79 79 79 71 49
would just put	0 0 0
them and says hey i ' m brand new i don	70 70 70 49 49 49 49 49 49 49 49
is horizontal many of you will want to	0 0 0 80 80 68 68 68
about today are firstly drop shipping	0 0 46 19 19 37
change it to something that ' s just	79 79 79 79 79 79 79 79
So just appreciating this and having this kind of	58 58 58 70 61 61 61 58 58
And so as a lesson to all of us	49 49 49 79 79 70 79 52 52
You need to have quite a large amount of money	67 67 70 67 70 70 70 70 70 70
work their way up right so in your	67 64 64 41 49 71 41 41
have to have some type of balance to	71 71 70 70 71 71 71 71
almost all of them	79 79 79 79
acting let ' s face it we aren ' t studying	71 79 79 79 79 79 79 40 40 40 41
you can get them to laugh and break up	49 49 41 71 71 71 71 49 49
So for example they might say that	80 80 80 68 41 41 41
learn school stuff one of their newer	79 79 79 52 52 79 70
about talent agents	52 76 41
as well as i ' m currently in a mastermind	71 71 71 71 71 71 71 71 71 71
in this industry that a lot of people	44 50 50 50 80 53 53 53
and you feel super proud	37 37 64 67 67
So firstly because that 50 , 000 pounds is profit	79 52 52 79 79 79 79 79 79 79
taking it to a whole new level	79 49 49 79 79 79 79
because I can ' t get that 20 % right like	70 70 70 70 70 79 79 70 70 79 79
be paying on the lower end of that	61 61 61 70 71 68 71 71
you can bounce ideas off of so	31 40 31 31 31 32 40
to your resume now i ' m going to put this	0 0 0 0 0 0 0 0 0 0 0
checking my availability i was actually	79 79 79 61 61 79
getting an agent right away is going to	76 79 76 76 73 76 76 76
the project to the producers so that is	80 80 80 80 80 49 40 40
the acting career center here to help	71 71 71 71 71 68 68
super valuable this is going to help you	71 79 79 79 70 70 61 79
you don ' t want to be uploading a	49 49 49 49 49 49 49 49 49
It ' s actually quite a good one to keep asking yourself	50 50 50 49 49 49 49 50 50 50 50 77
to going online and doing virtual	79 49 49 49 49 49
helps if you ' re trying to sell any kind	79 52 25 25 25 52 52 52 52 49
from two to four dollars I think is a	79 70 79 79 79 79 79 79 79
This begs the question how hard is it	63 63 63 63 63 63 63 63
if you ' ve graduated from school already	49 49 49 49 49 41 71 71
in the beginning of the process because	76 76 76 76 76 76 76
times like 45 minutes with explanation	20 20 20 20 20 20
when the project is shooting the rate of	40 40 70 67 76 67 70 70
time lose momentum and they take a long	79 79 79 79 79 52 52 43
and he ' s got a team around it	0 0 0 0 0 0 0 0 0
correct industry term is audition sides	43 71 71 76 67 67
business works	0 0
Don ' t feel like you have to email the university to ask them	70 70 70 71 71 70 79 79 79 79 79 76 79 79
and for good reason it ' s the most	49 49 49 49 49 49 49 49 49
comment below - I ' d love to hear about	71 71 71 70 70 70 70 70 80 71
third if you are	71 71 71 71
actors to post their headshots and	77 79 79 79 79 79
And the answer is that an investment	80 50 50 22 49 49 49
might not be but just understand what	71 70 68 71 68 71 71
point that we ' re not really making a	76 76 70 70 70 70 49 46 49
actors lifestyle that ' s not always the	40 41 41 41 41 41 41 41
then we ' ll talk about how to join	70 70 70 70 70 70 70 70 70
can be very valuable	50 70 70 67
can help you fill out those forms	79 79 79 79 79 79 79
smell the roses on the journey	79 79 79 79 79 79
doing without a talent agent	80 79 79 79 79
vehicle deduction there ' s the mileage	31 31 0 0 0 0 0
let ' s talk about actors first	41 41 41 41 71 71 71
specific type of business because i	41 44 71 71 71 49
have that	44 44
But the problem is that	67 58 31 31 31
audition if you have an audition for a	71 71 71 79 79 79 79 70
and then kind of dropping down to three pounds	41 41 41 40 40 40 38 37 41
this is how i ' ve been doing my grocery	40 43 43 70 70 70 70 70 79 79
an acting career is training it ' s not	71 71 71 80 79 79 79 79 80
That audience knows likes and trusts you	58 58 58 58 58 58 58
but there was and I think this is more	49 49 49 49 49 49 49 49 49
being paid like 50 bucks or 100 bucks to	79 79 79 79 79 79 79 79 79
and there ' s always been this the stigma	50 50 50 50 49 49 49 49 37
along to the actor	67 67 67 50
ago I was in London for work alright I	49 49 49 49 49 49 49 49 49
a big - time hollywood celebrity you	68 70 70 70 70 70 68
school plays like these types of things	50 49 49 40 40 41 41
i . e outperform the index	70 70 70 61 61 49
that file name they know exactly who it	67 67 67 67 67 67 68 68
there are a ton of real estate agents	40 40 40 40 67 76 76 76
licensed professional that can help	67 31 67 67 40
shows whether it ' s an in - person audition	70 50 79 79 79 79 70 70 70 71
much house you can afford so to do this	79 79 79 71 79 0 0 0 0
second of all if you ' re interested in	41 41 41 41 41 41 41 43 43
every single week today we are talking	79 41 41 41 49 49 49
step number 11 is to branch out to a	1 10 1 1 1 1 1 1 20
selling info products so buy info	67 67 67 67 49 22
I wanna do all this kind of stuff	79 79 79 79 79 79 79 79
the casting director will then make	68 71 67 40 67 70
why it ' s so important to get your	79 79 79 79 79 79 79 79 79
agents you will 100 need to do it	79 70 79 79 79 79 79 79
getting my first few lessons and acting	79 79 79 79 79 79 79
for instance when i joined sag	68 71 71 71 71 71
have to refill it right now another way	71 71 71 71 40 40 40 70
you to arrive on set on time to arrive	73 76 76 79 79 76 73 73 73
that your real estate license is a great	79 79 79 79 79 79 79 79
of Netflix or to play " War Zone " with the boys	52 52 53 80 53 53 53 53 53 53 53 53
the character that you ' re auditioning	71 71 41 71 71 71 71
But if we average out the last 30 to 50 years	58 58 58 58 58 59 58 55 55 55 55
once you do get representation now	49 49 49 79 70 79
to around 24 , 000 pounds	44 44 53 53 53 53
estate agent and starting to look at	32 43 53 53 80 80 40
that make us look like amateurs today I	79 76 76 77 77 70 70 77
it ' s because you ' re doing it right	41 41 41 41 41 41 41 41 14 41
using my phone I would just put it on a	48 21 21 21 21 21 21 21 21 21
vaughn ' s or ralph ' s or albertsons but it	71 71 71 79 80 80 80 70 71 70 71
basically a public casting call now this	79 79 79 70 49 49 49
it ' s going to be universal lots of	79 79 79 79 79 79 79 79 43
headshot photographer not any	71 71 68 71
lower budget things i ' ve done a ton of	41 41 41 41 41 41 50 50 50 50
you want to go and find a local mortgage	79 79 79 79 79 79 79 79 79
so they have two things isn ' t her sake	0 0 0 0 0 81 81 81 0 0
now in this particular movie there were	70 73 73 73 73 73 73
that would match roughly the rate of inflation	43 70 61 61 61 40 70 76
start moving forward in our careers all	64 67 67 71 71 71 71
a small amount of information	50 68 77 76 76
that me and my brother did so if that	53 53 53 53 44 44 44 53 53
do the next day and these are the	64 67 70 70 70 49 49 41
this past monday on nbc i played dr cho	41 41 41 41 41 41 41 41 41
opportunities basically the same as an	71 53 76 79 79 52
buyer ' s agent is paid for by the seller	79 79 79 79 79 79 79 79 79 79
programs are going to be making student	50 50 50 50 50 50 77
enough movies and television shows and	49 49 49 49 67 68
heaven is what happens when i look at	71 71 71 68 68 71 71 71
extremely uncomfortable for a lot of	31 76 49 49 49 49
You ' ve done the work kind of once	58 58 58 58 55 58 58 58 40
that we ' re buying firstly did i receive	43 70 70 70 11 11 11 11 11
now i ' ve talked about actor finances	49 49 49 49 49 79 79 49
of doubts we go through seasons of	79 79 79 79 79 79 79
and I called it Gringotts and let ' s say a hundred people	71 71 40 31 61 61 76 76 76 71 71 70 76
also think that the only way you can put	40 40 40 41 41 41 40 40 40
every single time I might do one and if	67 70 68 68 40 40 40 40 40
survival jobs	71 71
united states i think a little over half	67 67 41 68 71 71 71 71
and building a team of people around me	79 79 79 79 79 79 79 79
because each state is going to have	70 79 79 79 79 79 79
before we go there we need to talk about	1 1 1 1 1 49 46 46 46
without an agent can go onto those	79 79 79 79 70 71 71
investing in yourself invest in a Skillshare subscription	1 19 19 19 19 10 10 10
even if you don ' t book it well for a	76 76 76 58 58 58 61 61 61 79 61
house in my opinion is the backyard and	0 0 0 0 0 0 0 0
The environment around me is like I ' ve designed in a way	10 0 0 0 0 0 0 0 0 0 0 0 0
It ' s like you know I don ' t know what my passion is	67 67 67 67 67 73 65 20 20 20 51 51 50 50 50
earlier on in my career and then later	80 80 80 80 80 77 77 40
servicemembers and there	79 79 79
and the cash on cash return right here	1 1 1 1 1 1 1 1
why because sometimes there will be	77 76 79 79 79 79
And now we can see that these days for example	33 32 32 32 32 32 32 32 32 32
like with anything maintenance is a little bit easier	0 21 21 21 49 49 49 49 40
because now I have the vocabulary in my head	67 40 41 40 67 67 41 67 67
and three we ' re creating demo reel	49 49 49 49 49 79 49 49
particular character that don	79 79 80 77
if you wanna check it out	59 49 49 41 41 41
on this week i am launching	49 49 70 70 70 79
get your heart on fire and fury	79 71 67 71 71 71 71
the final column for the film section is	0 0 0 0 0 0 0 0
Is it okay if I do this	79 79 79 70 70 62 61
be paid to you as a pass through	31 31 40 40 40 40 40 40
passes along that offer to the actor and	80 79 77 77 71 70 71 68
because they say	71 49 49
obviously that ' s not everybody ' s career	79 79 79 79 79 79 79 79 79
saying hey agent	73 73 40
offer the classes those those	40 40 41 50 49
or by clicking the link down in the	64 67 67 68 71 71 71 71
a headshot and you have a resume	40 71 71 71 71 41 49
within the story along with the other	49 49 50 49 49 49 49
Well if your class is actually pretty good	58 58 58 58 58 58 58 58
it for today thank you so much and i	41 41 41 41 41 41 40 40 44
television shows	71 71
investment properties and multi	53 52 40 40
and make sure it ' s photo paper this is	76 76 76 76 76 76 76 73 46 40
plenty of actors that have done that and	68 68 44 53 50 50 77 77
not completely	0 0
and I recognised this	71 71 71 71
is when you rent out part of your	0 0 0 0 0 0 0 0
he decided that in one of the scenes the	41 41 41 40 40 40 40 40 40
and so if you put in $ 7 , 500 in the S & amp ; P 500	40 40 40 40 40 31 31 31 31 31 40 49 49 49 49 49 49 49
and decide that they don ' t want to hire	0 0 0 0 0 0 0 0 0 0
that involves analyzing data from like 2000 patient records	68 67 67 67 67 68 68 67 67
they focused and on in character	46 41 41 41 44 41
paying that extra price for that trendy	79 79 79 70 79 70 79
resume looked like this when i first	0 0 0 0 0 0 0
needs to be able to fit in this story	49 49 49 49 49 49 49 49 49
to mention my own website	80 80 80 76 76
this means you ' re taking a 20 000 loss	0 0 0 0 0 0 0 0 0 0
my name is kurt yu thank you so much for	0 0 0 0 0 0 0 0 0 0
that as much as 80 percent of new agents	79 79 79 79 79 79 79 79 79
years ago I was in London for work what	49 49 49 49 49 49 76 77 78
dogs with inner life of ryan your	71 49 49 49 41 79 79
keep 90 . if you make a thousand dollars	49 49 49 41 41 40 40 40 40
near atlanta have the best	41 40 40 70 70
i think it really helped me in terms of	79 79 79 79 79 79 79 79 79
they don ' t become more resilient well	49 49 49 49 49 49 49 49
thousand dollars in the bank	70 70 61 61 61
another really important thing that we	79 79 79 79 79 76
other role in this project that you	76 76 76 76 76 76 76
classf get perfect headshot is not just be	71 49 49 49 49 79 79 76
I check my portfolio once every six months	43 76 70 70 76 76 71 71
so in the summer of 2015 we built an	49 49 49 49 49 50 51 50 43
year i can ' t remember but recently i	41 41 41 41 41 41 41 41 41
get a dog okay so in an audition like	79 79 79 79 41 41 41 41 41
single tuesday at noon eastern standard	76 70 79 79 79 79
recommend most people do you ' ll have a	31 31 31 40 49 49 49 49 40
or a 15 or a 20 commission we won ' t get	77 68 68 68 68 41 41 40 40 40 40 40
you ' re trying to figure out when you	79 79 79 79 79 79 79 79 79
because it suddenly becomes scalable	22 49 49 49 71
the mental toughness to handle this	79 79 79 79 79 79
of bringing in enough income to cover	52 52 52 79 79 80 79
that you are selling other people ' s products	49 49 49 49 49 49 49 49 49
that decision after the fact okay so	34 70 70 70 70 52 79
was eating how I was eating and it took	50 50 49 49 41 50 41 50 46
So this is the lifetime revenue of my YouTube channel	79 79 44 53 53 53 53 53 53 44
referring to movies when they say take 1	67 67 67 67 70 67 67 67
your brand like all of those things are	79 79 79 79 79 79 79 79
a lot of money with these types	43 44 44 43 41 41 44
house is the potential resale value in	79 79 79 79 79 79 80
in order to work with an agent so i hope	50 50 50 41 41 41 44 53 49 49
that is going to impact so many people	70 70 43 40 79 79 79 79
really nice and they ' re luxurious but	49 79 79 79 79 79 79 79
and you saw all those movies and	76 76 71 41 41 41 49
straight to the government as	40 31 31 67 67
that a great audition doesn ' t guarantee	41 0 0 0 0 0 0 0
that fifteen point three percent tax	43 70 40 43 70 31
that come with that but not only that at	79 79 79 79 79 79 79 79 79
the daily challenges feature on Brilliant	37 37 40 40 37 37
every single one of the 12 steps is	41 41 41 68 68 71 71 41
if i had let that stop me i wouldn	79 79 79 79 79 79 79 76 79
bit if you had any confusion about how	43 43 43 70 70 71 71 71
those things okay so in this video we	50 41 41 41 41 41 41 41
rehearsing the scene so you ' re gonna	67 73 73 76 67 67 67 67
this idea has actually changed the game for me	80 49 52 49 52 49 49 49 49
effectively because think about it if	70 49 41 41 41 41
owe a lot to house hacking here are the	49 49 79 49 49 71 76 76 73
guys ways to become financially	70 70 79 70 79
gonna be able to sell later on and	0 0 0 0 0 0 79 79
mind that you ' re gonna need money to	79 79 79 79 79 79 79 79 79
you virtually yeah it ' s good to see you	50 50 49 49 49 49 49 49 49 50
single week now it ' s actually been more	71 71 71 50 50 50 50 50 41
my real money in 2012	67 67 70 49 70
people better actors and i should have	79 79 79 79 79 79 79
in and i made probably six or seven	49 49 41 71 71 71 71 68
of people you absolutely do not need the	70 70 40 79 79 79 70 43
Other things around this is working with music	43 62 62 19 19 19 19 19
exhausting day and you feel like having	50 50 50 50 50 50 49
for many other projects uh when i	67 64 64 64 80 80 80
interested in let ' s get started right	79 79 76 76 76 67 64 40
they ' ve done plays since they were in	0 0 0 0 0 0 0 0 0
recommend that you do your own research	44 53 71 71 80 80 53
And the way that our memory works is	79 79 79 79 79 79 79 76
my auditions then i ' ve actually created	40 40 50 41 41 41 41 41
such as vons or ralph ' s that ' s where you	49 79 52 79 26 26 26 26 26 26 26 26
who are very kindly sponsoring this video	50 50 44 53 80 80 53
shouldn ' t have been caught off guard and	77 77 77 77 77 77 77 77 77
aren ' t necessary now of course you do	79 79 79 79 79 79 79 70 70
mailing list of 20 , 000 people and now	49 40 40 40 40 40 71 53 53
spend those x dollars you ' re going to	4 31 31 31 31 31 31 31 31
particularly useful either recently or	46 46 46 46 46
percentage I ' m doing really well with	71 41 41 41 41 41 71 71
that are used all the time	49 79 79 80 80 50
little bit about me and about my dog	79 79 79 79 79 79 79 79
dollar pie now one very important part	71 71 67 71 71 71 71
it makes it so that it ' s the only thing	49 40 44 40 40 40 40 40 41 41 41
background this stuff back here is cool	0 0 19 19 19 19 19
understand that your acting ability	76 76 76 79 76
happens all the time	79 76 76 76
television shows	71 71
got a call back for that	41 71 71 41 71 41
now definitely for some industries this	49 49 43 70 40 40
estate agent the next really important	79 79 79 79 79 79
to submit you to casting directors so	71 71 71 71 71 71 71
know my mastermind coach or the other	79 79 79 79 79 79 79
probably around 75 % of the people in the	49 49 49 49 79 79 79 79 79
hit the tab	0 0 0
In this video we ' re gonna talk about	58 58 58 31 31 31 41 41 50
will make real estate investing a much	31 31 31 31 31 31 31
loans is be lower your credit score the	70 70 70 70 70 70 70 70
lot of time going through the course and	79 79 79 79 79 79 79 79
really ensure that you have the	79 79 79 79 79 79
private acting teachers private acting	49 41 41 40 40
a lot of especially the people that are	41 49 49 49 49 41 71 71
found it informative please give it a	79 79 71 79 79 79 79
audition for one character and they use	79 79 79 52 79 79 79
the city you live in right now even if	79 79 79 79 79 71 71 71 70
so don ' t submit for projects in toronto	71 71 71 71 72 81 81 77 76
my first audition for the commercial on	79 79 79 79 79 76 40
the description below so make sure to	80 80 80 80 76 50 41
many of them have	41 41 41 50
so that	0 0
come from the on - camera world	50 49 40 40 40 40 49
another way that actors make money in	76 67 41 41 41 41 71
at 1 p	40 40 41
all right second bedroom right here	52 43 43 43 43 0
and then you can sell your services	53 53 53 53 49 50 50
but you might not like the way I coach	49 49 49 49 49 49 49 49 49
and just write a quick note for that	79 73 76 76 76 52 49 49
world to push us along	49 49 49 76 49
and starting to	41 41 41
So it provided those two conditions are met	70 70 70 70 70 67 70 71
well they ' re going to need that actor to	0 0 0 0 0 0 0 0 0 0
who has been trained to express the	31 31 20 20 20 20 20
hassle and they actually just go with an	40 40 31 31 31 40 40 41
of how much money you as the creator	40 40 61 61 67 67 68 71
camera even in an unscripted situation	79 79 79 79 79 79
passing rates but I ' ve heard that for	79 70 70 52 52 52 79 79 70
and then you sold when it was $	79 71 71 67 67 67 31 28
a lot more to actually just put stuff down on paper	52 52 52 43 49 49 49 49 49 79 79
the movies and television shows that	53 53 53 79 80 71
the acting career center here to help	71 71 71 71 71 71 68
invest in real estate well it ' s to build	49 79 79 79 52 52 52 52 52 52
uh key ratios that you guys need to look	1 1 1 1 1 1 1 1 1
into the film and television industry	72 72 72 72 72 72
But secondly your holidays are really long	79 79 79 79 79 79 79
than paying for	70 79 79
them to see that sometimes you ' re gonna	41 41 41 41 41 70 70 70 70
so many new things about all of these	49 79 79 79 49 79 80 79
someone like a surgeon that you ' re working with	76 76 76 76 76 76 76 76 76 76
let me say that i am not a theater actor	49 49 49 76 76 76 67 67 67 67
drenched in sweat completely soaked	49 46 46 49 49
if i had let that client stop me from	79 79 79 79 79 79 79 79 79
have to be training towards a specific	40 40 37 37 10 10 37
television shows then I ' ve created a	71 71 68 67 67 67 67 71
i mentioned earlier that yes you are	71 71 71 67 70 70 67
returns for the last two years	31 31 31 31 31 31
But I thought I ' d do this annual roundup	52 52 52 52 52 52 52 25 52 52
graph because if it took you 30 years to	32 32 32 32 32 32 41 32 41
nothing scripted so i recorded my	49 49 70 49 49 71
and cast yourself as the main character	41 71 71 41 41 41 52
Another piece of advice that I forgot to give is	79 79 79 79 79 79 79 80 79 79
i think atlanta is the best market	71 71 71 71 71 71 71
and the lower your credit score the	70 70 70 70 70 70 70
availability conflicts refer to the	70 67 70 70 70
for some amazing projects so	79 79 79 79 79
who understands the industry who has	80 80 80 80 80 80
i ' ve created a free audition	71 71 71 41 41 41 41
and having made 77 videos already	32 32 32 32 33 33
face especially in your eyes but I will	74 74 74 74 74 74 76 76
time and after the auditions were done	71 71 50 50 80 80 80
really taught me that we don ' t need to	21 21 21 21 21 21 21 21 21 21
To use me as an example so me and my brother have a podcast	52 52 52 43 43 43 52 52 52 52 52 52 79 52
especially when you factor in the time	43 70 40 40 70 70 70
Okay so that begs the question	31 31 31 31 55 55
want to know why they asked you this	68 68 71 71 71 71 71 71
can replace it or add to it add to your	67 40 40 40 40 40 40 40 40 40
until next time keep practicing keep	80 80 52 52 49 52
hundreds of auditions that I ' ve done the	80 44 41 71 71 71 71 71 71
kind of prepared for the scene	79 79 79 79 79 79
now right off the bat you can see that	20 20 20 20 11 11 11 11 11
that ' s not working I ' ll try another if	40 40 40 67 40 49 49 49 49 52 52
weird situation and let ' s bring it back	49 71 71 50 50 50 40 31 40
just sold we were on the market for like	0 0 1 1 -59 1 1 0 0
baton and i we were all locked in said	79 79 79 79 79 76 76 76 76
payments the higher the LTV the higher	71 71 71 71 71 70 61
you take are of great addition to great	71 71 71 71 71 71 71 71
If you told me a couple of years ago	22 22 22 22 22 22 22 22 22
college students this is a really great	79 79 79 79 79 79 70
and energized ready for a great evening	80 33 51 51 42 42 42
instant equity by buying certain	32 31 31 31 31
like how does it work (	79 22 49 22 52 52
brought up the cost of 48	0 0 0 0 0 0
every single day of the week and if	40 40 40 40 40 40 40 40
And finally if you look historically	49 49 67 79 76 70
If you ' d asked me two and a half years ago	64 70 70 70 70 71 67 67 67 67 64 64
sidenote the actress who played the	77 77 77 77 77 77
All right	70 76
those locations	52 52
I like to have a fancy - ass desk set up	80 80 80 80 50 50 50 50 22 49 1
know more and more people are turning to	52 52 52 52 52 43 52 52
now a reader can be just the casting	40 68 68 68 68 68 68 68
you ' re going to have to learn monologues	67 67 67 64 64 64 64 67 67
if not everyone gets it	79 79 79 79 79
we don ' t want to just talk about you	41 49 49 49 49 49 49 49 49 49
now if you have an agent you would put	0 0 0 0 0 0 0 0 0
So if in April 2020	58 58 58 58 59
i ' m not going to audition for this	79 79 79 79 79 79 79 79 79
I had a bunch of agents call me and try	79 79 79 79 79 79 79 49 79 79
your acting abilities	76 76 76
and i know exactly what every single	68 71 71 71 71 71 71
scenario for any type of real estate	79 79 79 79 79 79 79
pay down your mortgage	20 19 20 20
officer uniform they could be casting	79 79 76 76 76 76
monologues in previous videos but if you	67 67 67 77 41 41 41
question but my advice is to suggest the	0 0 0 0 0 0 0 0
through these more concise summaries	40 40 40 40 40
terms of a subscription fee or it may	40 41 41 41 41 40 49 40
my name is Kurt you thank you for	68 68 68 68 68 41 41 68
all this time figuring it out you	79 79 79 79 79 79 79
and hard work and dedication and all that good stuff	25 16 16 16 52 49 49 49 76 76
something they ' re not gonna push you	49 49 49 49 49 49 49 49
maintenance tires insurance and all	40 31 49 49 40
here ' s the thing shaq was there that day	41 41 41 41 41 41 41 41 41 40
you need to create a business	52 71 71 70 70 70
other business they ' re trying	76 71 71 71 71 68
these days with varying degrees of passiveness	41 41 49 53 49 49 22
one of the major	40 40 43 70
like it ' s around about $ 450 a month	41 41 41 41 41 41 41 41 40 41
get professional headshots now I can	79 71 71 79 79 79
per se but i do think they are overrated	44 44 41 41 41 40 70 41 71
in passive income from this audience	52 52 52 43 52 58
are years in	79 79 79
and pasting	0 0
And you can do that once in a while	37 40 37 40 40 40 40 49 49
then that can help you book the room at	68 68 68 68 68 68 68 68 71
be done	49 49
they ' re going to be asking you to do all	79 79 79 79 80 71 79 79 79 79 79
to be an actor	49 49 49 49
because we are always looking to hire	40 71 80 80 40 40 40
like they are emphasized	67 41 41 70
workout a lot of people will be thinking	37 37 37 37 37 37 37 37
can make you famous	79 79 79 71
spending money at starbucks or other	40 71 43 43 70 43
wow i ' m gonna pay am getting paid 300	79 79 79 79 79 79 79 79 70 71
like get up on the chair and like film	79 79 79 79 79 79 73 73 20
first agent	21 19
and your name and shame of hunger and	79 70 70 76 70 79 79 79
right in theater is the only time where	0 0 0 0 0 0 0 0
building that trust between you a great	79 79 79 79 76 76 77
dollars per audition	43 43 71
those have like been what i make those	79 80 80 50 49 49 49 49
both times i never got to meet him maybe	49 79 79 79 76 73 74 77 77
so those are a couple reasons why a lot of actors tend	0 71 68 68 71 71 71 71 79 79 79 80
then to make $ 100 a month in Skillshare	0 0 0 0 0 0 0 0 0
him based on another live	64 67 67 68 68
But eight years down the line	70 70 50 80 80 77
a self tape as a demo rather when you	41 49 49 41 41 67 49 49 49
know I wanted that to be the control and	23 23 23 22 23 22 22 22 22
investing in stocks is very good	70 70 34 61 70 49
their productions union now i also	71 71 71 40 76 67
but if you are someone like me who is	50 50 50 49 49 40 40 40 40
if you needed to see a doctor let ' s say	26 26 26 26 26 53 44 44 44 44 44
But our money in our savings account	40 31 58 58 58 58 70
yes history hand appears	68 71 79 79
is to make sure your camera is roughly	0 0 0 0 0 0 0 0
And I ' m gonna do a video about this some other time	67 49 49 49 49 49 49 49 49 49 40 67 67
and then you can suddenly immediately have the superpower	49 71 71 79 79 79 76 70 79
auditioning and career advice every	80 49 49 71 71
download the free cheat sheet by going	68 41 41 68 68 71 53
get a crushing and crashing and crashing	70 70 49 79 79 52 49
to be all over the place some months you	40 40 76 77 76 40 40 40 40
on this journey of #	40 40 37 40 40
the time works mayaken that I become	80 79 77 77 77 77 77
sadly not a lot of people do it because	31 31 31 31 31 31 31 31 31
want to help you	49 49 41 41
any money but you ' re getting experience	80 80 77 71 71 71 71 71
a lot of people now like vom a little bit in their mouth	0 1 11 1 49 49 49 49 49 49 49 50 53
hundred dollars you give them 10 you	40 67 50 50 50 49 49
I who don ' t have the 20 % down needed to	70 70 43 43 43 43 70 70 70 70 70 70
part of that money goes to principal aka	31 31 31 31 40 40 32 40
it needs to have your union status	0 0 0 0 0 0 0
in in the area of your finances and just	76 79 79 76 79 79 79 76 79
And as we always talk about on this channel	49 49 49 49 49 49 49 49 50
recommended so many of my friends to use	40 40 40 31 31 40 40 40
then you ' re going to have to find out	41 41 41 41 44 71 71 71 71 71
footage for all of us to put on our demo	68 50 77 49 49 79 79 52 49 52
part with their hard - earned cash to buy	53 53 52 44 44 44 49 49 49
you ' re gonna start a YouTube channel	41 41 41 41 41 41 41 41
play - back rose rapidly without you wanna	71 71 71 71 50 71 71 71
actually have to pay for it you have to	0 0 0 0 0 0 0 0 0
about that your agent had your back	41 41 41 41 41 41 50
you will pass the test your first try	40 40 40 40 40 40 40 40
overtime we have compounding	49 49 40 40
be spent just marketing yourself so	79 79 79 79 79 79
get to set your own hours you don ' t need	40 40 67 40 31 31 31 31 31 31 40
make in their lifetime so a lot is	40 76 76 76 67 67 67 67
basically what you want whether it ' s a	40 40 40 40 40 40 40 40 50
But the thing that I recommend	41 13 13 22 49 22
either as a one - off or more likely these days	70 70 70 70 70 70 67 67 67 49 41
and around our jobs	0 1 0 19
and they ' re going to call you up and	76 76 76 76 76 76 80 71 71 41
these three go	71 71 71
and in order to represent an actor i	40 40 70 70 70 70 70 70
them in this video	71 71 71 71
Be okay with organizing an event	41 41 41 41 41 41
where you look directly into the camera	41 41 41 41 77 77 77
and if you can do that if you can get	47 46 46 46 46 0 0 0 0 0
the production side but i ' m not i ' m not	71 41 40 40 40 40 40 49 40 40 40 40
in this industry casting directors	41 41 40 40 40
and this doesn ' t happen in every scene	79 79 79 79 79 79 79 79 79
in that time what is it today	40 70 70 70 70 67 31
that those can be great ways to start	41 49 49 41 41 41 41 41
want to get a sense of your personality	71 41 50 49 50 41 41 71
So for example if I were to put a hundred pounds	79 79 70 79 79 79 79 52 52 52 52
that will really help the podcast grow	49 67 76 77 77 76 76
job where you know not every day is the	31 40 40 40 40 40 40 40 40
within this industry is a really popular	80 79 52 79 79 79 71
number one on my list why because we	41 41 41 41 41 41 44 41
that so for instance	80 50 50 50
auditions with your phone	67 67 67 68
of that file and make sure you don	76 76 76 76 76 79 79 79
average American just doesn ' t have	70 70 70 70 70 70 79
It made me realize that we ' re always	73 73 73 77 77 76 76 76 70
this is how i ' ve been taking acting	71 71 71 71 71 71 71 71 71
description below to see something like	53 53 26 53 44 71
have many many scenes that you ' re trying	71 71 71 71 71 71 71 71 71
person ' s license you need to find a	79 79 79 79 79 79 79 70 79
or taking a job that pays less but that	1 1 1 1 20 20 31 1 2
because that would make you an extremely rich person	0 0 0 0 0 0 0 0 0
and then Brexit happens the next day	1 0 0 0 0 0 0
we wanna be trying to have more fun	50 79 79 79 79 67 41 71
in the next video	0 1 0 0
to see more content just like this	50 49 40 40 40 40 40
training is the first thing you should	71 71 71 71 71 71 79
vanities for like 80 bucks and they	79 79 79 79 79 79 79
know that with having a great brand has	79 79 79 79 79 79 79 79
At that point absolutely everyone	76 79 70 79 79
12 commonly purchased items that you are	0 0 0 0 0 0 0
room here to write 15 different	0 0 0 0 0 0
my clients are really appreciate you	41 41 46 46 50 49
with 1 . 4 million views	50 40 40 40 61 61
never auditioning for just that one role	41 41 41 41 41 41 40
And so when we give our money to a company	58 61 58 58 58 58 58 61 61 61
every few months just to make sure you ' re still	77 50 50 49 67 76 77 79 79 79 79
are going to print all right we are so	71 71 80 80 79 79 79 79 79
And the idea is that you should have a list	67 67 67 67 67 67 67 67 67 67
Secondly index funds give you	49 79 71 71 71
dramatically the next bad money habit	79 79 79 70 79 79
when you buy an	11 11 19 11
different skill set but	70 70 67 67
as well as my loan license exams was to	76 76 76 79 79 80 79 79 79
when you audition for something you	41 41 41 41 41 41
fitness and health as well yeah yeah so	49 49 40 49 49 49 49 49
